row_num,ID,clickable_doi,Title,Year,Authors,year_split,first_code_initials,first_code_include,first_code_reason,second_code_include,second_code_reason,second_code_initials
858,,http://doi.org/10.1016/j.lingua.2019.06.006,Socio-psychological salience and categorisation accuracy of speaker place of origin,2019,"McKenzie, R.M., Huang, M., Ong, T.T., Snodin, N.",After-OS,iac 8,Yes,NA,NA,NA,NA
859,,http://doi.org/,Inter-textual vocabulary growth patterns for marine engineering English,2019,"Li, J.",After-OS,iac 9,Yes,NA,NA,NA,NA
860,,http://doi.org/,Analyzing in-service and pre-service teachers' perceptions on peer reflection at iain bone,2019,"Wanci, R., Darwis, N.",After-OS,iac 10,No Access,NA,NA,NA,NA
861,,http://doi.org/10.1007/s11061-019-09598-6,Fornication in Juan‚Äôs Dark Night,2019,"McGlynn, M.",After-OS,iac 11,No,lit review,NA,NA,NA
862,,http://doi.org/10.1093/hcr/hqy011,Solidarity effects in social movement messaging: How cueing dominant group identity can increase movement support,2019,"Lane, D.S., Coles, S.M., Saleem, M.",After-OS,iac 12,Unsure,socio,NA,NA,NA
863,,http://doi.org/10.1093/fmls/cqx074,"Honegger, Cocteau and a man-eating lion on the Eiffel tower: Concealment and contradiction",2018,"Connon, D.",After-OS,iac 13,No,lit review,NA,NA,NA
864,,"NA","Transversal Connections: The Cervantes Quatercentenary in Spain and its Comparison with \Shakespeare Lives\"" 2019 ""Multicultural Shakespeare",2019,"Gregor, K.",After-OS,NA,No,lit review,NA,NA,NA
865,,http://doi.org/10.1017/S0305000917000162,Temporal features of word-initial /s/+stop clusters in bilingual Mandarin-English children and monolingual English children and adults,2018,"Yang, J.",After-OS,iac 14,Yes,NA,NA,NA,NA
866,,http://doi.org/10.13110/narrcult.5.1.0121,"A mirror for princesses: M≈´nis-nƒÅma, a twelfth-century collection of persian tales corresponding to the ottoman turkish tales of the faraj ba ød al-shidda",2018,"Askari, N.",After-OS,iac 15,No,lit review,NA,NA,NA
867,,http://doi.org/10.1086/696145,A Basmala-inscribed jug from Arsur‚Äôs Mamluk destruction of ad 1265: The religious manifestation of a Christian- Used table vessel?,2018,"Tal, O.",After-OS,iac 16,No,religion,NA,NA,NA
868,,http://doi.org/10.22055/rals.2018.13794,Investigating researcher identity in qualitative research articles in applied linguistics journals through the lens of CDA,2018,"Rahimpour, S., Sotoudehnama, E., Sasani, F.",After-OS,iac 17,Yes,NA,NA,NA,NA
869,,http://doi.org/10.25162/hermes-2019-0043,Did Nicanor actually write a treatise (Greek Passage) (On the ships at anchor)?,2019,"N√ºnlist, R.",After-OS,iac 18,No Access,NA,NA,NA,NA
870,,http://doi.org/10.28914/Atlantis-2019-41.2.10,Flying solo: Mobility in up in the air,2019,"Trevi√±o, I.",After-OS,iac 19,No,film review,NA,NA,NA
871,,http://doi.org/10.1007/s11145-017-9742-4,Investigating the mechanisms of written word production: insights from the written blocked cyclic naming paradigm,2019,"Breining, B., Rapp, B.",After-OS,iac 20,Yes,NA,NA,NA,NA
872,,http://doi.org/10.22055/rals.2019.14694,A spiritual and moral pursuit of Russian literature in the 19th century (Axiological aspect of literary research),2019,"Zhilenkov, A.I., Kichigina, V.V., Polovneva, M.V., Poltoratskaya, S.V., Semykina, E.N., Shirina, E.A.",After-OS,iac 21,No,Russian lit,NA,NA,NA
873,,http://doi.org/10.1163/15685365-12341612,"Ein \""Ocean von Gelehrsamkeit\"": Sir William Mitchell Ramsays Briefe an Adolf von Harnack",2018,"Wei√ü, A.",After-OS,iac 22,No,In German; not linguistics,NA,NA,NA
874,,http://doi.org/10.1080/14781700.2018.1534697,"Translation, book history and the transnational life of ‚Äústreet literature‚Äù",2019,"Colombo, A.",After-OS,iac 23,No,street literature,NA,NA,NA
875,,http://doi.org/10.1080/00909882.2018.1528622,Social media affordances in the context of police transparency: An analysis of the first public archive of police body camera videos,2018,"Ramirez, F.A.",After-OS,iac 24,No,Police body cams,NA,NA,NA
876,,http://doi.org/10.1007/s11145-018-9926-6,Multiple dimensions of adolescents‚Äô reading attitudes and their relationship with reading comprehension,2019,"Jang, B.G., Ryoo, J.H.",After-OS,iac 25,Yes,NA,NA,NA,NA
877,,http://doi.org/10.22363/2312-9182-2018-22-1-94-107,Attaching feelings and emotions to propositions. Some insights on irony and internet communication,2018,"Yus, F.",After-OS,iac 26,Yes,NA,NA,NA,NA
878,,http://doi.org/10.1177/0265532216679452,Measuring L2 speakers‚Äô interactional ability using interactive speech tasks,2018,"van Batenburg, E.S.L., Oostdam, R.J., van Gelderen, A.J.S., de Jong, N.H.",After-OS,iac 27,Yes,NA,NA,NA,NA
879,,http://doi.org/10.1515/flin-2019-2014,Gender in Ninilchik Russian: A morphosyntactic account,2019,"Steriopolo, O.",After-OS,iac 28,No Access,NA,NA,NA,NA
880,,http://doi.org/10.7203/qdfed.24.16330,Ghostly memories of Afro-Europeanness after the Great war in Esi Edugyan‚Äôs half blood blues,2019,"Ramon, V.C.",After-OS,iac 29,No,NA,NA,NA,NA
881,,http://doi.org/10.1108/ETPC-03-2019-0031,Embodied refusals and choreographic criticalities: Seventh grade boys of color writing ‚ÄúMute‚Äù,2019,"Krone, B.",After-OS,iac 30,No Access,NA,NA,NA,NA
882,,http://doi.org/10.1017/langcog.2019.14,The iconicity toolbox: Empirical approaches to measuring iconicity,2019,"Motamedi, Y., Little, H., Nielsen, A., Sulik, J.",After-OS,iac 31,No,Iconicity; not language specific,NA,NA,NA
883,,http://doi.org/10.17576/3L-2019-2504-08,A cognitive-oriented exploration of the development of translation competence: A case study of Iranian Translation Learners,2019,"Komeili, M., Dabaghi, A., Barati, H.",After-OS,iac 32,Yes,NA,NA,NA,NA
884,,http://doi.org/10.1080/23273798.2017.1401101,The N400 as an index of lexical preactivation and its implications for prediction in language comprehension,2018,"Szewczyk, J.M., Schriefers, H.",After-OS,iac 33,Yes,NA,NA,NA,NA
885,,http://doi.org/10.1177/0093650219887025,Titling Practices and Their Implications in Communication Research 1970-2010: Cutesy Cues Carry Citation Consequences<sup>1</sup>,2019,"Keating, D.M., Richards, A.S., Palomares, N.A., Banas, J.A., Joyce, N., Rains, S.A.",After-OS,iac 34,Unsure,Titling,NA,NA,NA
886,,http://doi.org/,Southernsyllabus teaching and activism in southern studies,2018,"Davis, D.A.",After-OS,iac 35,No,Southern studies,NA,NA,NA
887,,http://doi.org/,On the balkan character of naming the types of wine in Bulgarian dialects,2019,"Halil, A.",After-OS,iac 36,No Access,NA,NA,NA,NA
888,,http://doi.org/10.1080/0163853X.2017.1330034,Complement Set Reference after Implicitly Small Quantities: An Event-Related Potentials Study,2018,"Ingram, J., Ferguson, H.J.",After-OS,iac 37,Yes,NA,NA,NA,NA
889,,http://doi.org/10.2989/16073614.2019.1671882,Translation and development: (non-)translation and material exclusion in South Africa,2019,"Botha, M.",After-OS,iac 38,Unsure,Translation & social policy,NA,NA,NA
890,,http://doi.org/10.1093/fs/knz129,√âtat pr√©sent: Literature and photography,2019,"Welch, E.",After-OS,iac 39,No,Literature & photography,NA,NA,NA
891,,http://doi.org/10.1016/j.pragma.2018.09.008,A pragmatic reversal: Italian per favore ‚Äòplease‚Äô and its variants between politeness and impoliteness,2019,"Fedriani, C.",After-OS,iac 40,Unsure,Pragmatic reversal,NA,NA,NA
892,,http://doi.org/10.1111/russ.12166,"On disappointment in terrorism, war, and revolution: Boris Savinkov‚Äôs what didn‚Äôt happen and Leo Tolstoy‚Äôs war and peace",2018,"Patyk, L.E.",After-OS,iac 41,No,Lit review,NA,NA,NA
893,,http://doi.org/,Who has the right to write? Custodian writing and white property in the university,2019,"Marotta, C.",After-OS,iac 42,No,"Race, writing, literacy",NA,NA,NA
894,,http://doi.org/10.1177/0891241617702196,"Youth Gangs, Violence, and Local Culture in Chiang Mai, Northern Thailand",2018,"Cohen, A.",After-OS,iac 43,No,Violence,NA,NA,NA
895,,http://doi.org/10.1632/pmla.2018.133.3.661,"Sedimental education; or, reading as we age",2018,"Rabinowitz, P.J.",After-OS,iac 44,No Access,NA,NA,NA,NA
896,,http://doi.org/,Jean-Marie Pelt and J.M.G. Le Clezio's Invitation to think and live otherwise in the anthropocene,2019,"Moser, K.",After-OS,iac 45,No,lit review,NA,NA,NA
897,,http://doi.org/,A critical look at NLP in ELT,2018,"Mayne, R.",After-OS,iac 46,Yes,NA,NA,NA,NA
898,,http://doi.org/10.1080/23273798.2017.1404114,From words-as-mappings to words-as-cues: the role of language in semantic knowledge,2019,"Lupyan, G., Lewis, M.",After-OS,iac 47,Yes,NA,NA,NA,NA
899,,http://doi.org/10.1080/2050571X.2019.1579407,Guest Editorial,2019,"Mahendra, N.",After-OS,iac 48,Unsure,super short,NA,NA,NA
900,,http://doi.org/10.1080/10489223.2017.1344847,Early Underspecification of Functional Categories: Evidence from the Acquisition of Locative PPs in Russian,2018,"Mitrofanova, N.",After-OS,iac 49,Yes,NA,NA,NA,NA
901,,http://doi.org/10.1515/sem-2018-0104,Visual semiotics and automatic analysis of images from the Cultural Analytics Lab: How can quantitative and qualitative analysis be combined?,2019,"Dondero, M.G.",After-OS,iac 50,No,visual semiotics,NA,NA,NA
902,,http://doi.org/,Resyllabification in standard Arabic: A constraint-based approach,2019,"Btoosh, M.A.",After-OS,iac 51,Yes,NA,NA,NA,NA
903,,http://doi.org/,‚ÄòAs much as i love being in the classroom ‚Ä¶‚Äô: Understanding secondary English teachers‚Äô workload,2018,"Manuel, J., Carter, D., Dutton, J.",After-OS,iac 52,No Access,NA,NA,NA,NA
904,,http://doi.org/10.1353/hel.2019.0005,"The omen and the dream: Helen's and Penelope's visions of the eagle and the geese in Homer, Odyssey 15.160-178 and 19.535-555",2019,"Stockdale, E.",After-OS,iac 53,No,lit review,NA,NA,NA
905,,http://doi.org/10.1093/joc/jqy061,Chinese newspaper groups in the digital era: The resurgence of the party press,2019,"Wang, H., Sparks, C.",After-OS,iac 54,No,Chinese digital newspaper,NA,NA,NA
906,,http://doi.org/10.20916/1812-3228-2019-4-20-27,Challenges of intercultural communication from the perspective of linguistic interpretation theory,2019,"Boldyrev, N.N., Dubrovskaya, O.G.",After-OS,iac 55,No Access,NA,NA,NA,NA
907,,http://doi.org/10.1016/j.linged.2018.06.002,"Practices of self-selection in the graduate classroom: Extension, redirection, and disjunction",2018,"Takahashi, J.",After-OS,iac 56,No,Student Self-selection,NA,NA,NA
908,,http://doi.org/10.1016/j.cognition.2019.06.002,Using what's there: Bilinguals adaptively rely on orthographic and color cues to achieve language control,2019,"Fadlon, J., Li, C., Prior, A., Gollan, T.H.",After-OS,iac 57,Yes,NA,NA,NA,NA
909,,http://doi.org/,Knowledge standardization: Key words and word combinations in definitions,2018,"Latu, M.",After-OS,iac 58,No Access,NA,NA,NA,NA
910,,http://doi.org/10.1044/2017_JSLHR-L-17-0246,Planning deficits in children with specific language impairment are reflected in unnecessarily awkward grasps,2018,"Sanjeevan, T., Rosenbaum, D.A., Mainela-Arnold, E.",After-OS,iac 59,Unsure,Language-impared kids' grasp planning deficits,NA,NA,NA
911,,http://doi.org/10.1007/s10462-017-9539-5,Knowledge-based recommendation: a review of ontology-based recommender systems for e-learning,2018,"Tarus, J.K., Niu, Z., Mustafa, G.",After-OS,iac 60,No,Recommender systems,NA,NA,NA
912,,http://doi.org/10.12697/SSS.2018.46.4.07,Returning 'learning' to education: Toward an ecological conception of learning and teaching,2018,"Campbell, C.",After-OS,iac 61,No,learning; not language specific,NA,NA,NA
913,,http://doi.org/10.1080/14787318.2019.1586175,Growing Pains: Interior and Exterior in Maeterlinck‚Äôs Decadent Nature Writing,2018,"Ryan, N.",After-OS,iac 62,No,Poetry; lit review,NA,NA,NA
914,,http://doi.org/10.4102/rw.v10i1.196,The impact of digital copyright law and policy on access to knowledge and learning,2019,"Pistorius, T., Mwim, O.S.",After-OS,iac 63,No,Copyright's effecs on learning,NA,NA,NA
915,,http://doi.org/10.1080/04250494.2018.1414416,"The dangling conversation: the location and function of author, text and reader in literary texts",2018,"Glover, M.",After-OS,iac 64,No,literature,NA,NA,NA
916,,http://doi.org/10.1016/j.langcom.2019.03.001,The problematic definition of ‚ÄòChinese‚Äô in Hong Kong,2019,"Clark, A.S.",After-OS,iac 65,Yes,NA,NA,NA,NA
917,,http://doi.org/10.1353/mln.2019.0106,Girard/Derrida: Difference on difference,2019,"Sebbah, F.-D.",After-OS,iac 66,No,literature,NA,NA,NA
918,,http://doi.org/10.3366/vic.2018.0317,Buried narratives: Exhuming the mother‚Äôs story in oliver twist,2018,"Wilson, M.L.",After-OS,iac 67,No,lit review,NA,NA,NA
919,,http://doi.org/10.18488/journal.23.2019.84.135.145,Extra-linguistic elements in learning second language,2019,"Kamaruddin, R., Rosli, M.N.A., Hamid, T.N.A.T.A., Hamzah, N.S., Salleh, M.M.",After-OS,iac 68,Yes,NA,NA,NA,NA
920,,http://doi.org/10.1044/2017_JSLHR-H-17-0263,"Comparison of subjective and objective measures of hearing, auditory processing, and cognition among older adults with and without mild cognitive impairment",2018,"Fausto, B.A., Badana, A.N.S., Arnold, M.L., Lister, J.J., Edwards, J.D.",After-OS,iac 69,No,Audition,NA,NA,NA
921,,http://doi.org/,‚ÄúI must not settle into a figure‚Äù: French portraits of Virginia Woolf in the shadow of proust and Joyce,2019,"Federici, A.",After-OS,iac 70,No Access,NA,NA,NA,NA
922,,http://doi.org/10.1177/0267658319877666,Language proficiency is only part of the story: Lexical access in heritage and non-heritage bilinguals,2019,"Wiener, S., Tokowicz, N.",After-OS,iac 71,Yes,NA,NA,NA,NA
923,,http://doi.org/10.1111/1460-6984.12390,Effect of type of language therapy on expressive language skills in patients with post-stroke aphasia,2018,"Vuksanoviƒá, J., Milovanoviƒá, T., Konstantinoviƒá, L., Filipoviƒá, S.R.",After-OS,iac 72,Yes,NA,NA,NA,NA
924,,http://doi.org/10.1515/ijsl-2018-0004,Translation as a sub-set of public and social policy and a consequence of multiculturalism: The provision of translation and interpreting services in Australia,2018,"Hlavac, J., Gentile, A., Orlando, M., Zucchi, E., Pappas, A.",After-OS,iac 73,Unsure,Translation & public policy,NA,NA,NA
925,,http://doi.org/10.18355/XL.2019.12.03.07,Functional and syntactic features of free indirect discourse in M.I. tsvetaeva‚Äôs prose works,2019,"Galimullina, R.I., Kazakova, J.K., Puchinina, O.P.",After-OS,iac 74,No,lit review,NA,NA,NA
926,,http://doi.org/10.1177/0739986319851248,Neighborhood Ethnic Composition and Perceived Discrimination Among Young Adult Latina/os: The Mediating Role of Ethnic Centrality,2019,"Camacho, G., Allen, A.M., Quinn, D.M.",After-OS,iac 75,No,ethnic composition & discrimination,NA,NA,NA
927,,http://doi.org/10.1111/tops.12304,Multi-Scale Contingencies During Individual and Joint Action,2018,"Scott Jordan, J., Schloesser, D.S., Bai, J., Abney, D.",After-OS,iac 76,No,joint action paradigm; no language,NA,NA,NA
928,,http://doi.org/10.22055/rals.2019.15374,A critical look at language functions and language policies in the Russian modern educational context,2019,"Gorbacheva, N.P, Khramova, E.V, Bolshakov, A.G, Tereshina, E.A",After-OS,iac 77,No Access,NA,NA,NA,NA
929,,http://doi.org/10.1016/j.linged.2019.04.005,A functional perspective on the challenges of teaching English tenses to speakers of other languages: The case of adult speakers of Serbian,2019,"Stosic, D.",After-OS,iac 78,Yes,NA,NA,NA,NA
930,,http://doi.org/10.1162/ling_a_00329,Gender at the edge,2019,"Sigur√∞sson, H.√Å.",After-OS,iac 79,Yes,NA,NA,NA,NA
931,,http://doi.org/10.1515/iral-2018-2007,A cognitive approach to teaching deictic motion verbs to German and Italian students of Spanish,2019,"Colasacco, M.A.",After-OS,iac 80,Yes,NA,NA,NA,NA
932,,http://doi.org/10.1080/0013838X.2018.1558761,‚ÄúUpon Our Sense of Style‚Äù: W. H. Auden‚Äôs ‚ÄúNew Year Letter‚Äù and Catastrophe,2019,"Lewis, D.L.M.",After-OS,iac 81,No,lit review,NA,NA,NA
933,,http://doi.org/10.3196/003581218822496948,Pagan myths in the auto sacramental: On transcultural poetics in Sor Juana's El divino Narciso and its loa (with a reference to Calder√≥n's El divino Orfeo) | Pagane Mythen im auto sacramental: Zur transkulturellen Poetik in Sor Juanas El divino Narciso und seiner loa (mit einem Seitenblick auf Calder√≥ns El divino Orfeo),2018,"Weiser, J.",After-OS,iac 82,No Access,NA,NA,NA,NA
934,,http://doi.org/10.1075/lic.17011.pes,Slavic and Romance pro-drop in contrast: Evidence from Czech and Spanish,2019,"Pe≈°kov√°, A.",After-OS,iac 83,Yes,NA,NA,NA,NA
935,,http://doi.org/,A naval official among the gods: Basileia as in Aristoph. A v. 1537-43,2018,"Morosi, F.",After-OS,iac 84,No Access,NA,NA,NA,NA
936,,http://doi.org/10.1515/applirev-2016-1009,Pinpointing the role of the native language in L2 learning: Acquisition of spatial prepositions in English by Russian and Turkish native speakers,2019,"Antonova Unlu, E.",After-OS,iac 85,No Access,NA,NA,NA,NA
937,,http://doi.org/10.3758/s13414-018-1526-7,Dissecting stimulus‚Äìresponse binding effects: Grouping by color separately impacts integration and retrieval processes,2018,"Laub, R., Frings, C., Moeller, B.",After-OS,iac 86,No,visual perception,NA,NA,NA
938,,http://doi.org/10.1632/pmla.2018.133.1.166,"How do we write, now?",2018,"Spivak, G.C.",After-OS,iac 87,No Access,NA,NA,NA,NA
939,,http://doi.org/,"La fille de son p√®re: Secrecy, Love, and Writing in Assia Djebar's Nulle part dans la maison de mon p√®re",2019,"Tindira, J.",After-OS,iac 88,No,lit review,NA,NA,NA
940,,http://doi.org/10.2478/aa-2019-0008,Narrating the extremes: The language of suffering and survival in Laila Lalami's the Moor's Account,2019,"Sensri, I., Benabed, F.",After-OS,iac 89,No,lit review,NA,NA,NA
941,,http://doi.org/10.1080/09500782.2018.1511728,‚ÄòNothing too major‚Äô: how poor revision of writing may be an adaptive response to school tasks,2019,"Oliver, L.",After-OS,iac 90,No,writing but not language focused,NA,NA,NA
942,,http://doi.org/10.1177/1086296X19859515,Literacy-Related Abilities‚Äô Effects on Argumentative Text Quality Structure,2019,"Stavans, A., Seroussi, B., Zadunaisky Ehrlich, S.",After-OS,iac 91,Yes,NA,NA,NA,NA
943,,http://doi.org/10.1075/lab.19072.mat,Prosodic transfer in the receptive modality recognizing morphology within L2 prosody,2019,"Matthews, J.",After-OS,iac 92,Yes,NA,NA,NA,NA
944,,http://doi.org/10.1016/j.specom.2018.10.009,"Binaural speech intelligibility through personal and non-personal HRTF via headphones, with added artificial noise and reverberation",2018,"Ordu√±a-Bustamante, F., Padilla-Ortiz, A.L., Torres-Gallegos, E.A.",After-OS,iac 93,Yes,NA,NA,NA,NA
945,,http://doi.org/,Motivating EFL learners to speak by embracing local culture and tradition,2018,"Basalama, N.",After-OS,iac 94,No Access,NA,NA,NA,NA
946,,http://doi.org/10.1080/09658416.2019.1636802,The construction of conflict talk across workplace contexts: (towards) a theory of conflictual compact,2019,"Handford, M., Koester, A.",After-OS,iac 95,Yes,NA,NA,NA,NA
947,,http://doi.org/10.1080/00437956.2019.1567038,Reading the word in a foreign tongue: Islam‚Äôs scripture and non-Arab Muslims <sup>‚Ä†</sup>,2019,"Barlas, A.",After-OS,iac 96,Yes,NA,NA,NA,NA
948,,http://doi.org/10.1080/07908318.2018.1541999,English language and literacy proficiency of students in an urban Fiji primary school,2019,"Hopf, S.C., McDonagh, S.H., Wang, C., McLeod, S.",After-OS,iac 97,Yes,NA,NA,NA,NA
949,,http://doi.org/10.35903/teanga.v25i0.54,A pragmatic analysis of requests in irish english and russian,2018,"McCarthy, M.M.",After-OS,iac 98,Yes,NA,NA,NA,NA
950,,http://doi.org/,A note on liturgical and mystical quotations in flamenca,2019,"Boitani, G.",After-OS,iac 99,No Access,NA,NA,NA,NA
951,,http://doi.org/10.1111/1460-6984.12495,Speech and language therapy for primary progressive aphasia across the UK: A survey of current practice,2019,"Volkmer, A., Spector, A., Warren, J.D., Beeke, S.",After-OS,iac 100,Yes,NA,NA,NA,NA
952,,http://doi.org/10.1632/pmla.2019.134.1.9,Reading spaces,2019,"Ender, E., Lynch, D.S.",After-OS,kc 1,No,literature,NA,NA,NA
953,,http://doi.org/10.1515/opli-2018-0026,Inferences in interaction and language change,2018,"Ehmer, O., Rosemeyer, M.",After-OS,kc 2,Yes,NA,NA,NA,NA
954,,http://doi.org/10.1075/ps.16028.jaw,"Crossing languages ‚Äì Crossing discourses A corpus-assisted study of Kulturkampf in German, Polish and English",2018,"Jaworska, S., Leuschner, T.",After-OS,kc 3,Yes,NA,NA,NA,NA
955,,http://doi.org/10.1075/jlp.16035.fuk,Partisan follow-ups Editorial slant among newspapers during the 2013 Japanese Upper House election,2018,"Fukushima, T.",After-OS,kc 4,Yes,(note: discourse studies on newspaper),NA,NA,NA
956,,http://doi.org/10.1353/mln.2019.0067,The revolution of the hand: Scripts and manuscripts in Poggio Bracciolini's florence,2019,"Ricci, R.",After-OS,kc 5,No,literature,NA,NA,NA
957,,http://doi.org/10.5699/modelangrevi.113.4.0701,"O, Farewell, honest soldier!': Francisco's exit from Hamlet",2018,"Fischler, A.",After-OS,kc 6,No Access,literature,NA,NA,NA
958,,http://doi.org/,"Teenagers' use of pragmatic markers in Madrid, Buenos Aires and Santiago de Chile",2019,"Stenstr√∂m, A.-B.",After-OS,kc 7,No Access,No access. Maybe not in English.,NA,NA,NA
959,,http://doi.org/10.1080/00787191.2019.1664165,"G√ºnter Grass, Katz Und Maus Und Der Chinesische Sittenroman Jin Ping Mei: Ein Fall Von Sexual√§sthetischen Wahlverwandschaften?",2019,"Wang, Y.",After-OS,kc 8,No,literature and not in English,NA,NA,NA
960,,http://doi.org/10.1016/j.jcomdis.2019.03.008,Listeners‚Äô perception of lexical stress in the first words of infants with cochlear implants and normally hearing infants,2019,"De Clerck, I., Verhoeven, J., Gillis, S., Pettinato, M., Gillis, S.",After-OS,kc 9,Yes,NA,NA,NA,NA
961,,http://doi.org/10.1044/2018_JSLHR-S-17-0125,‚ÄúDo i sound straight?‚Äù: Acoustic correlates of actual and perceived sexual orientation and masculinity/femininity in men‚Äôs speech,2018,"Kachel, S., Simpson, A.P., Steffens, M.C.",After-OS,kc 10,Yes,NA,NA,NA,NA
962,,http://doi.org/10.1080/03634523.2018.1564835,Using emotional response theory to examine dramatic teaching behaviors and student approach‚Äìavoidance behaviors,2019,"Baker, J.P., Clark-Gordon, C.V., Myers, S.A.",After-OS,kc 11,No,communication and education studies but not on language,NA,NA,NA
963,,http://doi.org/10.1632/pmla.2018.133.3.594,What is and to what end does one study the history of east German literature?,2018,"Burgoyne, N.G., Hamilton, A.B.B.",After-OS,kc 12,No,literature,NA,NA,NA
964,,http://doi.org/10.1093/fmls/cqx083,"Emotion, deliberation and political authority in philip massinger's the Roman actor",2018,"Butler, T.",After-OS,kc 13,No,literature,NA,NA,NA
965,,http://doi.org/10.1007/s10462-018-9617-3,A novel type of soft rough covering and its application to multicriteria group decision making,2019,"Zhan, J., Alcantud, J.C.R.",After-OS,kc 14,No,decision making not on language,NA,NA,NA
966,,http://doi.org/10.1590/1984-6398201913553,Internationalization and language policies in brazil: What is the relationship? | Internacionaliza√ß√£o e pol√≠ticas lingu√≠sticas no Brasil: Qual a rela√ß√£o?,2019,"Guimar√£es, F.F., Finardi, K.R., Casotti, J.B.C.",After-OS,kc 15,Yes,NA,NA,NA,NA
967,,http://doi.org/10.1016/j.pragma.2017.06.013,Inviting in Mandarin: Anticipating the likelihood of the success of an invitation,2018,"Yu, G., Wu, Y.",After-OS,kc 16,Yes,NA,NA,NA,NA
968,,http://doi.org/10.1515/ling-2019-0019,(Inter)subjective uses of the Dutch progressive constructions,2019,"Anthonissen, L., De Wit, A., Mortelmans, T.",After-OS,kc 17,Yes,NA,NA,NA,NA
969,,http://doi.org/10.1016/j.lingua.2019.02.007,Home and away ‚Äì Implications of short-term sojourning of young Australian bilinguals,2019,"Eisenchlas, S.A., Schalley, A.C., Qi, G.Y., Tsai, P.-S.",After-OS,kc 18,Yes,NA,NA,NA,NA
970,,http://doi.org/10.1075/consl.00002.wan,On maximality in mandarin possessives,2019,"Wang, C.-A.A.",After-OS,kc 19,Yes,NA,NA,NA,NA
971,,http://doi.org/10.1515/ijsl-2017-0055,"\""No-one told me it would all be in Catalan!\"" - Narratives and language ideologies in the Latin American community at school",2018,"Pati√±o-Santos, A.",After-OS,kc 20,Yes,NA,NA,NA,NA
972,,http://doi.org/,Unadapted English loans in romanian advertisements targeting women,2018,"Dabu, B.",After-OS,kc 21,No Access,https://www.ceeol.com/search/article-detail?id=871405,NA,NA,NA
973,,http://doi.org/10.1044/2017_LSHSS-17-0019,Comprehensive stuttering treatment for adolescents: A case study,2018,"Coleman, C.E.",After-OS,kc 22,No,stuttering treatment not directly on language,NA,NA,NA
974,,http://doi.org/10.1075/lic.17007.mal,English presentative semantic patterns as seen through a parallel translation corpus,2019,"Mal√°, M., Br≈Øhov√°, G.",After-OS,kc 23,Yes,NA,NA,NA,NA
975,,http://doi.org/10.1017/S0954394519000036,Variable past participles in Portuguese perfect constructions,2019,"Schwenter, S.A., Hoff, M., Christodulelis, E., Pflum, C., Dauphinais, A.",After-OS,kc 24,Yes,NA,NA,NA,NA
976,,http://doi.org/10.1177/1525740118783516,Incorporating a Mindfulness Meditation Exercise Into a Stuttering Treatment Program,2019,"Emge, G., Pellowski, M.W.",After-OS,kc 25,No,Meditation Exercise Into a Stuttering Treatment,NA,NA,NA
977,,http://doi.org/10.1177/0261927X18815930,College Students‚Äô Perceptions of Gender-Inclusive Language Use Predict Attitudes Toward Transgender and Gender Nonconforming Individuals,2019,"Patev, A.J., Dunn, C.E., Hood, K.B., Barber, J.M.",After-OS,kc 26,Yes,NA,NA,NA,NA
978,,http://doi.org/10.17646/KOME.2018.22,"Media, religion and public sphere: International trends and hungarian researches",2018,"Andok, M.",After-OS,kc 27,No,communication and media studies not on language,NA,NA,NA
979,,http://doi.org/10.1080/01434632.2017.1301944,Assessing the sociolinguistic vitality of Istanbulite Romeyka: an attitudinal study,2018,"Schreiber, L., Sitaridou, I.",After-OS,kc 28,Yes,NA,NA,NA,NA
980,,http://doi.org/10.1017/S0272263116000437,Lexical and syntactic congruency in L2 predictive gender processing,2018,"Hopp, H., Lemmerth, N.",After-OS,kc 29,Yes,NA,NA,NA,NA
981,,http://doi.org/10.1163/19606028-04701001,Diff√©rentes natures des marques n√©gatives redondantes en chinois Mandarin,2018,"Baiyao, Z.",After-OS,kc 30,No Access,No access. https://brill.com/view/journals/clao/47/1/article-p125_3.xml,NA,NA,NA
982,,http://doi.org/10.35903/teanga.v25i0.49,Examining character recognition and recall skills of cfl beginner learners under four different approaches,2018,"Osborne, C.",After-OS,kc 31,Yes,NA,NA,NA,NA
983,,http://doi.org/10.1515/ejss-2019-0011,Foreign Influences on Nordic (Noir) Borderlands,2019,"Marklund, A.",After-OS,kc 32,No Access,No access. https://www.degruyter.com/document/doi/10.1515/ejss-2019-0011/html,NA,NA,NA
984,,http://doi.org/10.1017/S1366728918000858,Bilingualism as a desirable difficulty: Advantages in word learning depend on regulation of the dominant language,2019,"Bogulski, C.A., Bice, K., Kroll, J.F.",After-OS,kc 33,Yes,NA,NA,NA,NA
985,,http://doi.org/10.17576/3L-2019-2502-06,Phonological fossilisation of EFL learners: The interference of phonological and orthographic system of L1 Javanese,2019,"Senowarsito, Ardini, S.N.",After-OS,kc 34,Yes,NA,NA,NA,NA
986,,http://doi.org/10.1177/1367006917728392,El book or the libro? Insights from acceptability judgments into determiner/noun code-switches,2019,"Parafita Couto, M.C., Stadthagen-Gonzalez, H.",After-OS,kc 35,Yes,NA,NA,NA,NA
987,,http://doi.org/,Authenticity in online dynamic assessment: Iranian EFL learners` perspectives,2019,"Vakili, S., Ebadi, S.",After-OS,kc 36,Yes,NA,NA,NA,NA
